,estimator,min_score,mean_score,max_score,std_score,C,gamma,kernel,n_neighbors,weights,max_depth,max_features,min_samples_split,n_estimators,learning_rate,min_samples_leaf,loss,alpha,l1_ratio,max_iter
842,DecisionTreeRegressor,0.383184709,0.576614896,0.720975192,0.142200547,NAN,NAN,NAN,,,205,log2,,,,,,,,
3421,ElasticNet,0.510784037,0.576551436,0.624080089,0.048017273,NAN,NAN,NAN,,,,,,,,,,10,0.1,10
288,DecisionTreeRegressor,0.349591811,0.576267872,0.741644117,0.165820191,NAN,NAN,NAN,,,20,,,,,,,,,
1619,DecisionTreeRegressor,0.430588189,0.576107014,0.806353477,0.164689541,NAN,NAN,NAN,,,464,log2,,,,,,,,
1385,DecisionTreeRegressor,0.486104526,0.575781663,0.622207227,0.06342455,NAN,NAN,NAN,,,386,log2,,,,,,,,
1750,DecisionTreeRegressor,0.429740002,0.575756861,0.666240077,0.104230708,NAN,NAN,NAN,,,508,sqrt,,,,,,,,
2579,DecisionTreeRegressor,0.396074126,0.575674244,0.715439211,0.133388265,NAN,NAN,NAN,,,784,log2,,,,,,,,
2504,DecisionTreeRegressor,0.348610432,0.575569782,0.789080079,0.180072273,NAN,NAN,NAN,,,759,log2,,,,,,,,
2420,DecisionTreeRegressor,0.489835999,0.575540936,0.737615364,0.114667281,NAN,NAN,NAN,,,731,log2,,,,,,,,
845,DecisionTreeRegressor,0.438137578,0.57539626,0.746664418,0.128230745,NAN,NAN,NAN,,,206,log2,,,,,,,,
1340,DecisionTreeRegressor,0.354786958,0.575333625,0.739005995,0.161930194,NAN,NAN,NAN,,,371,log2,,,,,,,,
2518,DecisionTreeRegressor,0.409612293,0.575254415,0.757655843,0.142581518,NAN,NAN,NAN,,,764,sqrt,,,,,,,,
1988,DecisionTreeRegressor,0.458363998,0.574990292,0.712271739,0.1046813,NAN,NAN,NAN,,,587,log2,,,,,,,,
2866,DecisionTreeRegressor,0.440792598,0.574974996,0.696103091,0.104638021,NAN,NAN,NAN,,,880,sqrt,,,,,,,,
3017,DecisionTreeRegressor,0.468521197,0.574766353,0.749188787,0.124310579,NAN,NAN,NAN,,,930,log2,,,,,,,,
2948,DecisionTreeRegressor,0.452354658,0.574692666,0.758370552,0.132245649,NAN,NAN,NAN,,,907,log2,,,,,,,,
2575,DecisionTreeRegressor,0.402839247,0.574475789,0.674174911,0.121893409,NAN,NAN,NAN,,,783,sqrt,,,,,,,,
719,DecisionTreeRegressor,0.494281517,0.574215316,0.646423003,0.062351304,NAN,NAN,NAN,,,164,log2,,,,,,,,
2656,DecisionTreeRegressor,0.317594622,0.574206284,0.775749545,0.191051267,NAN,NAN,NAN,,,810,sqrt,,,,,,,,
1294,DecisionTreeRegressor,0.43492551,0.574053177,0.653488362,0.098707731,NAN,NAN,NAN,,,356,sqrt,,,,,,,,
2441,DecisionTreeRegressor,0.366755211,0.573991262,0.704160598,0.148132953,NAN,NAN,NAN,,,738,log2,,,,,,,,
1154,DecisionTreeRegressor,0.503327727,0.573919687,0.631163829,0.053035463,NAN,NAN,NAN,,,309,log2,,,,,,,,
2211,DecisionTreeRegressor,0.344764303,0.573859955,0.780920195,0.178740333,NAN,NAN,NAN,,,661,,,,,,,,,
1148,DecisionTreeRegressor,0.448842964,0.573458783,0.701989811,0.103383842,NAN,NAN,NAN,,,307,log2,,,,,,,,
3173,DecisionTreeRegressor,0.458060656,0.573295368,0.644703525,0.082257585,NAN,NAN,NAN,,,982,log2,,,,,,,,
1216,DecisionTreeRegressor,0.425989137,0.573075732,0.743703995,0.130770385,NAN,NAN,NAN,,,330,sqrt,,,,,,,,
1342,DecisionTreeRegressor,0.464587074,0.573056693,0.66698516,0.08326596,NAN,NAN,NAN,,,372,sqrt,,,,,,,,
2223,DecisionTreeRegressor,0.361862988,0.573020123,0.753712366,0.161415749,NAN,NAN,NAN,,,665,,,,,,,,,
1361,DecisionTreeRegressor,0.439445963,0.572937002,0.697824525,0.105657893,NAN,NAN,NAN,,,378,log2,,,,,,,,
2165,DecisionTreeRegressor,0.247007964,0.572453213,0.803732417,0.236834629,NAN,NAN,NAN,,,646,log2,,,,,,,,
1297,DecisionTreeRegressor,0.410475868,0.572274118,0.707671259,0.122757319,NAN,NAN,NAN,,,357,sqrt,,,,,,,,
613,DecisionTreeRegressor,0.461804349,0.572057171,0.695901449,0.096051753,NAN,NAN,NAN,,,129,sqrt,,,,,,,,
3420,ElasticNet,0.499768413,0.572044057,0.620369153,0.052066343,NAN,NAN,NAN,,,,,,,,,,10,0.1,5
1889,DecisionTreeRegressor,0.251414057,0.571972383,0.76729907,0.228468173,NAN,NAN,NAN,,,554,log2,,,,,,,,
1465,DecisionTreeRegressor,0.468725793,0.571706764,0.760110974,0.133414587,NAN,NAN,NAN,,,413,sqrt,,,,,,,,
375,DecisionTreeRegressor,0.344732634,0.571667456,0.751022107,0.16924477,NAN,NAN,NAN,,,49,,,,,,,,,
400,DecisionTreeRegressor,0.458812447,0.571463168,0.648254775,0.081390032,NAN,NAN,NAN,,,58,sqrt,,,,,,,,
413,DecisionTreeRegressor,0.439673427,0.571415763,0.674560451,0.098001182,NAN,NAN,NAN,,,62,log2,,,,,,,,
1321,DecisionTreeRegressor,0.436097276,0.571356126,0.710316533,0.111980136,NAN,NAN,NAN,,,365,sqrt,,,,,,,,
788,DecisionTreeRegressor,0.490474893,0.571329912,0.665988873,0.072315055,NAN,NAN,NAN,,,187,log2,,,,,,,,
2924,DecisionTreeRegressor,0.474469489,0.571318355,0.630102106,0.069002863,NAN,NAN,NAN,,,899,log2,,,,,,,,
2728,DecisionTreeRegressor,0.442012934,0.571300674,0.782752567,0.15075164,NAN,NAN,NAN,,,834,sqrt,,,,,,,,
694,DecisionTreeRegressor,0.246367693,0.571283942,0.796491089,0.235393807,NAN,NAN,NAN,,,156,sqrt,,,,,,,,
1060,DecisionTreeRegressor,0.437532496,0.571265208,0.714872342,0.113438605,NAN,NAN,NAN,,,278,sqrt,,,,,,,,
2831,DecisionTreeRegressor,0.403656866,0.571215171,0.806348737,0.171201631,NAN,NAN,NAN,,,868,log2,,,,,,,,
863,DecisionTreeRegressor,0.514767548,0.571061828,0.616075459,0.04212096,NAN,NAN,NAN,,,212,log2,,,,,,,,
1175,DecisionTreeRegressor,0.530155188,0.570973698,0.594518698,0.028976381,NAN,NAN,NAN,,,316,log2,,,,,,,,
1210,DecisionTreeRegressor,0.304594547,0.570915912,0.771471356,0.196192688,NAN,NAN,NAN,,,328,sqrt,,,,,,,,
3058,DecisionTreeRegressor,0.445357113,0.570835835,0.685543018,0.098350858,NAN,NAN,NAN,,,944,sqrt,,,,,,,,
1316,DecisionTreeRegressor,0.493355378,0.570819599,0.693416095,0.087687948,NAN,NAN,NAN,,,363,log2,,,,,,,,
2437,DecisionTreeRegressor,0.500146431,0.570693111,0.673233045,0.074195328,NAN,NAN,NAN,,,737,sqrt,,,,,,,,
2453,DecisionTreeRegressor,0.420603679,0.570693052,0.717763945,0.121333945,NAN,NAN,NAN,,,742,log2,,,,,,,,
2287,DecisionTreeRegressor,0.29885874,0.570219994,0.72256963,0.192363464,NAN,NAN,NAN,,,687,sqrt,,,,,,,,
235,DecisionTreeRegressor,0.376447998,0.570061993,0.677292418,0.137170046,NAN,NAN,NAN,,,3,sqrt,,,,,,,,
530,DecisionTreeRegressor,0.508248766,0.570010388,0.611319166,0.044494314,NAN,NAN,NAN,,,101,log2,,,,,,,,
2695,DecisionTreeRegressor,0.488683714,0.569855025,0.614657818,0.057499974,NAN,NAN,NAN,,,823,sqrt,,,,,,,,
3133,DecisionTreeRegressor,0.508485479,0.569657772,0.611644506,0.044245606,NAN,NAN,NAN,,,969,sqrt,,,,,,,,
2858,DecisionTreeRegressor,0.35017012,0.569562519,0.724094868,0.15939479,NAN,NAN,NAN,,,877,log2,,,,,,,,
1502,DecisionTreeRegressor,0.499777415,0.56948743,0.706251057,0.096712569,NAN,NAN,NAN,,,425,log2,,,,,,,,
574,DecisionTreeRegressor,0.337713058,0.569276314,0.771799098,0.178400643,NAN,NAN,NAN,,,116,sqrt,,,,,,,,
2458,DecisionTreeRegressor,0.328483513,0.569126595,0.729786312,0.173318566,NAN,NAN,NAN,,,744,sqrt,,,,,,,,
3092,DecisionTreeRegressor,0.447560196,0.568970037,0.656364418,0.088572341,NAN,NAN,NAN,,,955,log2,,,,,,,,
776,DecisionTreeRegressor,0.460232391,0.568637286,0.667481667,0.084878808,NAN,NAN,NAN,,,183,log2,,,,,,,,
1661,DecisionTreeRegressor,0.506494067,0.5686107,0.616586879,0.046043973,NAN,NAN,NAN,,,478,log2,,,,,,,,
2045,DecisionTreeRegressor,0.299697469,0.568564557,0.790700112,0.203156387,NAN,NAN,NAN,,,606,log2,,,,,,,,
1336,DecisionTreeRegressor,0.553081029,0.568541215,0.590938265,0.016214862,NAN,NAN,NAN,,,370,sqrt,,,,,,,,
2725,DecisionTreeRegressor,0.47136269,0.568482826,0.660404547,0.077263504,NAN,NAN,NAN,,,833,sqrt,,,,,,,,
1135,DecisionTreeRegressor,0.460008997,0.568393896,0.69116621,0.094916323,NAN,NAN,NAN,,,303,sqrt,,,,,,,,
2191,DecisionTreeRegressor,0.454099225,0.568030362,0.698361089,0.100391482,NAN,NAN,NAN,,,655,sqrt,,,,,,,,
1744,DecisionTreeRegressor,0.463492624,0.56794634,0.749885524,0.129120672,NAN,NAN,NAN,,,506,sqrt,,,,,,,,
982,DecisionTreeRegressor,0.39898082,0.56767519,0.722928909,0.132592306,NAN,NAN,NAN,,,252,sqrt,,,,,,,,
